ssh://ady@localhost:3310/h/321/ady/anaconda3/envs/simclr/bin/python -u /h/321/ady/code/SimCLR/cifar10/linear_eval.py
Using device: cuda
==> Resuming from checkpoint..
best acc:  95.48  start epoch:  196
Evaluating victim
required grad for param name:  fc.weight
required grad for param name:  fc.bias
Epoch 86	Top1 Train accuracy 29.547178268432617	Top1 Test accuracy: 28.828125	Top5 test acc: 75.60546875
Epoch 87	Top1 Train accuracy 29.562149047851562	Top1 Test accuracy: 28.828125	Top5 test acc: 75.60546875
Epoch 88	Top1 Train accuracy 29.581205368041992	Top1 Test accuracy: 28.828125	Top5 test acc: 75.60546875
Epoch 89	Top1 Train accuracy 29.601619720458984	Top1 Test accuracy: 28.828125	Top5 test acc: 75.60546875
Epoch 90	Top1 Train accuracy 29.628841400146484	Top1 Test accuracy: 28.92578125	Top5 test acc: 75.60546875
Epoch 91	Top1 Train accuracy 29.63564682006836	Top1 Test accuracy: 28.92578125	Top5 test acc: 75.60546875
Epoch 92	Top1 Train accuracy 29.647897720336914	Top1 Test accuracy: 28.92578125	Top5 test acc: 75.60546875
Epoch 93	Top1 Train accuracy 29.657424926757812	Top1 Test accuracy: 28.92578125	Top5 test acc: 75.60546875
Epoch 94	Top1 Train accuracy 29.660146713256836	Top1 Test accuracy: 29.0234375	Top5 test acc: 75.60546875
Epoch 95	Top1 Train accuracy 29.672395706176758	Top1 Test accuracy: 29.0234375	Top5 test acc: 75.60546875
Epoch 96	Top1 Train accuracy 29.683284759521484	Top1 Test accuracy: 29.0234375	Top5 test acc: 75.5078125
Epoch 97	Top1 Train accuracy 29.69009017944336	Top1 Test accuracy: 29.0234375	Top5 test acc: 75.5078125
Epoch 98	Top1 Train accuracy 29.70233917236328	Top1 Test accuracy: 29.0234375	Top5 test acc: 75.5078125
Epoch 99	Top1 Train accuracy 29.71731185913086	Top1 Test accuracy: 29.0234375	Top5 test acc: 75.5078125

Process finished with exit code 0
